epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.837,1.28387,3.40716,1.34437,0,0,0,0,1.86857,3.89942,1.71952,0.0677674,0.000325581,0.000325581
2,24.4051,1.17432,1.87112,1.28423,0.72334,0.46197,0.5877,0.38246,1.62703,2.2208,1.61191,0.0347642,0.000655653,0.000655653
3,33.2416,1.1287,1.51724,1.23669,0.74604,0.78159,0.82507,0.54784,1.1585,1.3127,1.27616,0.00175762,0.000982425,0.000982425
4,42.0047,1.17896,1.40693,1.25436,0.62046,0.73856,0.76541,0.52816,1.08784,1.08522,1.25393,0.00098515,0.00098515,0.00098515
5,50.8418,1.14861,1.27925,1.23461,0.68241,0.91243,0.82025,0.56085,0.96862,1.07753,1.10306,0.0009802,0.0009802,0.0009802
6,59.4493,1.13589,1.30594,1.26483,0.77288,0.86135,0.93024,0.57873,1.209,1.15586,1.29271,0.00097525,0.00097525,0.00097525
7,68.0894,1.10409,1.18606,1.19786,0.78271,0.76927,0.83903,0.58837,1.04548,1.14746,1.19492,0.0009703,0.0009703,0.0009703
8,77.8742,1.05863,1.15532,1.1954,0.83142,0.54723,0.74388,0.49457,1.0584,1.23782,1.21324,0.00096535,0.00096535,0.00096535
9,88.2205,0.998,1.08092,1.15112,0.87611,0.73435,0.84553,0.57655,1.27208,1.00721,1.43461,0.0009604,0.0009604,0.0009604
10,98.2762,1.06481,1.07257,1.20719,0.81754,0.70391,0.819,0.58501,1.25147,1.05068,1.3602,0.00095545,0.00095545,0.00095545
11,108.434,1.02936,1.03639,1.17875,0.87018,0.67766,0.84813,0.60934,1.13553,1.00833,1.24485,0.0009505,0.0009505,0.0009505
12,118.815,1.0232,0.98341,1.17396,0.92125,0.83592,0.93619,0.61213,1.21408,0.98511,1.27569,0.00094555,0.00094555,0.00094555
13,128.973,1.07557,1.00461,1.2166,0.73415,0.88488,0.88814,0.62415,1.08416,0.82742,1.20236,0.0009406,0.0009406,0.0009406
14,139.11,1.02124,1.0174,1.18751,0.73888,0.86742,0.89422,0.59539,1.06688,0.85868,1.21911,0.00093565,0.00093565,0.00093565
15,149.282,1.02353,0.96056,1.16996,0.82762,0.88508,0.90786,0.56604,1.16962,0.80556,1.22471,0.0009307,0.0009307,0.0009307
16,159.497,1.01448,0.90978,1.16702,0.90774,0.9148,0.94097,0.63889,1.22159,0.75917,1.26428,0.00092575,0.00092575,0.00092575
17,169.744,0.9856,0.92014,1.1493,0.84165,0.71678,0.87612,0.60381,1.09315,0.86763,1.18719,0.0009208,0.0009208,0.0009208
18,179.999,0.95782,0.85833,1.14258,0.84312,0.83394,0.92193,0.63582,1.19635,0.91407,1.18195,0.00091585,0.00091585,0.00091585
19,190.257,0.96733,0.8316,1.12696,0.81827,0.7026,0.8537,0.55951,1.27488,1.09558,1.3365,0.0009109,0.0009109,0.0009109
20,200.571,0.96333,0.86621,1.127,0.69581,0.86615,0.8996,0.61629,1.03742,0.71827,1.1268,0.00090595,0.00090595,0.00090595
21,211.287,0.96515,0.82005,1.13766,0.94357,0.84823,0.9455,0.64857,1.17028,0.72004,1.22292,0.000901,0.000901,0.000901
22,221.717,0.96084,0.8387,1.13891,0.90994,0.89597,0.90764,0.60306,1.19375,0.80098,1.23358,0.00089605,0.00089605,0.00089605
23,232.062,0.97443,0.81742,1.13442,0.84937,0.84295,0.9173,0.65079,1.05582,0.71317,1.17404,0.0008911,0.0008911,0.0008911
24,242.492,0.92823,0.81422,1.11296,0.92042,0.83127,0.93515,0.61627,1.08473,0.92441,1.23894,0.00088615,0.00088615,0.00088615
25,252.822,0.92472,0.79333,1.10032,0.76613,0.85657,0.92408,0.65158,1.02596,0.79823,1.16551,0.0008812,0.0008812,0.0008812
26,263.214,0.87407,0.76021,1.09053,0.85021,0.88344,0.92901,0.65797,1.09359,0.68575,1.20417,0.00087625,0.00087625,0.00087625
27,273.546,0.92431,0.74623,1.10152,0.91881,0.85005,0.95299,0.70356,0.8827,0.58214,1.09391,0.0008713,0.0008713,0.0008713
28,283.458,0.92918,0.76996,1.11482,0.83409,0.90784,0.94515,0.66923,0.98737,0.73075,1.11183,0.00086635,0.00086635,0.00086635
29,292.87,0.92027,0.75888,1.11801,0.92582,0.93697,0.97036,0.6579,1.0144,0.61063,1.11326,0.0008614,0.0008614,0.0008614
30,303.167,0.92386,0.79284,1.1178,0.93217,0.9095,0.97634,0.69164,1.16993,0.69605,1.25334,0.00085645,0.00085645,0.00085645
31,313.46,0.91254,0.7084,1.10287,0.92279,0.81753,0.93531,0.65183,1.07238,0.62283,1.17985,0.0008515,0.0008515,0.0008515
32,323.954,0.88131,0.7171,1.10024,0.91375,0.89182,0.9443,0.67001,0.96795,0.6113,1.10374,0.00084655,0.00084655,0.00084655
33,333.933,0.86422,0.70242,1.0727,0.79627,0.8012,0.88569,0.61136,1.04944,0.71151,1.17639,0.0008416,0.0008416,0.0008416
34,342.488,0.88044,0.70513,1.08888,0.88291,0.85128,0.89943,0.58272,1.37062,0.74814,1.28145,0.00083665,0.00083665,0.00083665
35,351.138,0.89001,0.71565,1.09297,0.85293,0.85863,0.92849,0.68425,0.95433,0.62099,1.15155,0.0008317,0.0008317,0.0008317
36,360.008,0.88664,0.68103,1.07326,0.93457,0.89659,0.97482,0.68475,1.03052,0.61272,1.10125,0.00082675,0.00082675,0.00082675
37,368.636,0.85628,0.64596,1.06463,0.95569,0.82898,0.94976,0.65117,1.09186,0.63558,1.2085,0.0008218,0.0008218,0.0008218
38,377.396,0.8887,0.70539,1.09196,0.9406,0.78387,0.91386,0.63697,1.05495,1.0231,1.1768,0.00081685,0.00081685,0.00081685
39,385.944,0.86984,0.68952,1.0957,0.90591,0.91799,0.96433,0.70975,0.92167,0.59422,1.10221,0.0008119,0.0008119,0.0008119
40,394.574,0.84754,0.68958,1.07121,0.83559,0.89379,0.89696,0.61392,1.06462,0.80073,1.21182,0.00080695,0.00080695,0.00080695
41,403.238,0.84951,0.68043,1.06535,0.79128,0.93719,0.94944,0.67909,1.08508,0.59468,1.21664,0.000802,0.000802,0.000802
42,412.014,0.8573,0.66835,1.08661,0.89123,0.8947,0.967,0.67729,1.13279,0.61423,1.32809,0.00079705,0.00079705,0.00079705
43,420.723,0.8283,0.6396,1.06271,0.87518,0.97754,0.97898,0.68185,1.04236,0.56935,1.16394,0.0007921,0.0007921,0.0007921
44,429.384,0.87503,0.66735,1.08034,0.89585,0.88948,0.93286,0.66728,1.05894,0.64677,1.22656,0.00078715,0.00078715,0.00078715
45,437.985,0.82483,0.64254,1.0561,0.84113,0.88562,0.93445,0.67177,1.01408,0.60749,1.19819,0.0007822,0.0007822,0.0007822
46,446.544,0.83875,0.6553,1.06414,0.89057,0.86111,0.94137,0.69634,0.97008,0.65008,1.13364,0.00077725,0.00077725,0.00077725
47,455.078,0.84952,0.66672,1.06919,0.81089,0.96955,0.95692,0.69588,0.96046,0.57918,1.14401,0.0007723,0.0007723,0.0007723
48,463.711,0.83021,0.66526,1.06873,0.93545,0.79401,0.93912,0.70393,1.00892,0.62977,1.15343,0.00076735,0.00076735,0.00076735
49,472.23,0.83854,0.64086,1.06492,0.90573,0.97258,0.97893,0.69603,1.03769,0.57932,1.20756,0.0007624,0.0007624,0.0007624
50,480.756,0.84225,0.62449,1.07178,0.86935,0.88342,0.90438,0.65399,1.08195,0.79643,1.25454,0.00075745,0.00075745,0.00075745
51,490.793,0.8494,0.62418,1.07845,0.86572,0.90051,0.92919,0.6462,1.00726,0.7976,1.18537,0.0007525,0.0007525,0.0007525
52,501.217,0.85617,0.60821,1.0568,0.89534,0.87058,0.95369,0.63382,1.18205,0.60771,1.35573,0.00074755,0.00074755,0.00074755
53,511.386,0.82289,0.62599,1.05173,0.85403,0.98495,0.981,0.69835,1.14531,0.55539,1.24821,0.0007426,0.0007426,0.0007426
54,521.48,0.83832,0.61019,1.04854,0.92104,0.87321,0.96922,0.65823,1.15934,0.61797,1.24623,0.00073765,0.00073765,0.00073765
55,531.556,0.82634,0.60245,1.06774,0.91514,0.86636,0.94801,0.65745,1.18611,0.6452,1.22555,0.0007327,0.0007327,0.0007327
56,541.797,0.79508,0.59377,1.05262,0.91906,0.85076,0.92307,0.65293,1.22209,0.61977,1.33529,0.00072775,0.00072775,0.00072775
57,551.996,0.79825,0.58505,1.04383,0.87612,0.81256,0.93941,0.64986,1.13475,0.63431,1.28649,0.0007228,0.0007228,0.0007228
58,562.195,0.78711,0.59415,1.04359,0.89298,0.86502,0.92079,0.63968,1.03418,0.75525,1.1409,0.00071785,0.00071785,0.00071785
59,572.314,0.77359,0.54543,1.03126,0.89122,0.91897,0.93146,0.64845,1.14001,0.61762,1.23243,0.0007129,0.0007129,0.0007129
60,582.45,0.78518,0.58231,1.03166,0.88591,0.90631,0.95663,0.68554,1.05149,0.60463,1.14888,0.00070795,0.00070795,0.00070795
61,591.057,0.78795,0.57107,1.0394,0.82044,0.93229,0.90121,0.6959,0.9486,0.62955,1.1093,0.000703,0.000703,0.000703
62,599.645,0.78331,0.56731,1.0295,0.8514,0.92078,0.95436,0.69491,1.06195,0.53049,1.275,0.00069805,0.00069805,0.00069805
63,608.262,0.77364,0.55698,1.03639,0.89998,0.81192,0.92617,0.6785,1.00387,0.54887,1.17495,0.0006931,0.0006931,0.0006931
64,616.929,0.79745,0.55941,1.05092,0.90381,0.86063,0.9297,0.66847,1.01709,0.58094,1.19876,0.00068815,0.00068815,0.00068815
65,625.584,0.77147,0.55084,1.02233,0.96246,0.93268,0.96755,0.70292,1.12343,0.56462,1.25446,0.0006832,0.0006832,0.0006832
66,634.336,0.78555,0.56065,1.04198,0.87109,0.96993,0.97727,0.68114,1.09454,0.55013,1.20801,0.00067825,0.00067825,0.00067825
67,643.05,0.74855,0.53208,1.02087,0.91221,0.92214,0.97261,0.69463,1.06937,0.56586,1.22747,0.0006733,0.0006733,0.0006733
68,651.77,0.74798,0.52369,1.0119,0.80881,0.92972,0.94164,0.6571,1.01354,0.68254,1.19383,0.00066835,0.00066835,0.00066835
69,660.384,0.74147,0.52865,1.00904,0.82301,0.8348,0.9483,0.68275,1.02128,0.89825,1.16746,0.0006634,0.0006634,0.0006634
70,669.081,0.73251,0.51174,1.01082,0.86745,0.9604,0.97395,0.71231,0.99142,0.52203,1.14944,0.00065845,0.00065845,0.00065845
71,677.549,0.74916,0.55262,1.01254,0.90149,0.89302,0.95318,0.73521,0.88486,0.51691,1.08133,0.0006535,0.0006535,0.0006535
72,686.018,0.73433,0.51787,1.01339,0.89395,0.92326,0.96459,0.70355,1.00495,0.60757,1.13273,0.00064855,0.00064855,0.00064855
73,694.572,0.77137,0.53862,1.03216,0.92205,0.94819,0.96214,0.73035,0.87487,0.50431,1.09665,0.0006436,0.0006436,0.0006436
74,703.184,0.74089,0.51909,1.01149,0.89934,0.85452,0.93084,0.66774,1.11123,0.555,1.3271,0.00063865,0.00063865,0.00063865
75,711.721,0.75465,0.52024,1.01192,0.96914,0.88814,0.98261,0.70786,1.07959,0.49281,1.28987,0.0006337,0.0006337,0.0006337
76,720.304,0.74849,0.52807,1.0197,0.9356,0.93519,0.98078,0.69677,1.18938,0.54352,1.34766,0.00062875,0.00062875,0.00062875
77,728.825,0.72185,0.49798,0.99687,0.93805,0.94496,0.97931,0.72751,0.90655,0.5193,1.05752,0.0006238,0.0006238,0.0006238
